model,balloon_id,threshold_pumps,pumps_attempted,burst,earnings,choices
openai/gpt-4o-mini,1,12,4,False,0.4,"PUMP, PUMP, PUMP, PUMP, CASH OUT"
openai/gpt-4o-mini,2,15,4,False,0.4,"PUMP, PUMP, PUMP, PUMP, CASH OUT"
openai/gpt-4o-mini,3,15,3,False,0.3,"PUMP, PUMP, PUMP, CASH OUT"
openai/gpt-4o-mini,4,17,3,False,0.3,"PUMP, PUMP, PUMP, CASH OUT"
openai/gpt-4o-mini,5,6,3,False,0.3,"PUMP, PUMP, PUMP, CASH OUT"
google/gemini-2.0-flash-001,1,12,3,False,0.3,"PUMP, PUMP, PUMP, CASH OUT"
google/gemini-2.0-flash-001,2,15,9,False,0.9,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT"
google/gemini-2.0-flash-001,3,15,3,False,0.3,"PUMP, PUMP, PUMP, CASH OUT"
google/gemini-2.0-flash-001,4,17,3,False,0.3,"PUMP, PUMP, PUMP, CASH OUT"
google/gemini-2.0-flash-001,5,6,6,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP"
google/gemini-2.5-pro-exp-03-25:free,1,12,1,False,0.1,"PUMP, CASH OUT"
google/gemini-2.5-pro-exp-03-25:free,2,15,0,False,0.0,CASH OUT
google/gemini-2.5-pro-exp-03-25:free,3,15,0,False,0.0,CASH OUT
google/gemini-2.5-pro-exp-03-25:free,4,17,0,False,0.0,CASH OUT
google/gemini-2.5-pro-exp-03-25:free,5,6,0,False,0.0,CASH OUT
openai/gpt-4o-2024-11-20,1,12,12,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP"
openai/gpt-4o-2024-11-20,2,15,15,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP"
openai/gpt-4o-2024-11-20,3,15,15,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP"
openai/gpt-4o-2024-11-20,4,17,17,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP"
openai/gpt-4o-2024-11-20,5,6,6,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP"
deepseek/deepseek-chat,1,12,5,False,0.5,"PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT"
deepseek/deepseek-chat,2,15,7,False,0.7,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT"
deepseek/deepseek-chat,3,15,15,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP"
deepseek/deepseek-chat,4,17,10,False,1.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT"
deepseek/deepseek-chat,5,6,6,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP"
anthropic/claude-3.7-sonnet,1,12,10,False,1.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT"
anthropic/claude-3.7-sonnet,2,15,9,False,0.9,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT"
anthropic/claude-3.7-sonnet,3,15,12,False,1.2,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT"
anthropic/claude-3.7-sonnet,4,17,10,False,1.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT"
anthropic/claude-3.7-sonnet,5,6,6,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP"
