model,balloon_id,threshold_pumps,pumps_attempted,burst,earnings,choices,full_responses
cohere/command-r-08-2024,1,11,7,False,0.7,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Cash Out
cohere/command-r-08-2024,2,2,2,True,0.0,"PUMP, PUMP",Pump | Pump
cohere/command-r-08-2024,3,14,10,False,1.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Cash Out
cohere/command-r-08-2024,4,7,7,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump. | Pump. | Pump. | Pump. | Pump. | Pump. | Pump.
cohere/command-r-08-2024,5,11,11,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump
cohere/command-r-08-2024,6,8,8,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump
cohere/command-r-08-2024,7,2,2,True,0.0,"PUMP, PUMP",Pump | Pump
cohere/command-r-08-2024,8,9,9,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump
cohere/command-r-08-2024,9,17,17,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump
cohere/command-r-08-2024,10,1,1,True,0.0,PUMP,Pump
cohere/command-r-08-2024,11,9,9,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump
cohere/command-r-08-2024,12,17,17,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump
cohere/command-r-08-2024,13,18,2,False,0.2,"PUMP, PUMP, CASH OUT",Pump | Pump | Cash Out
cohere/command-r-08-2024,14,6,6,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump
cohere/command-r-08-2024,15,13,11,False,1.1,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Cash Out
cohere/command-r-08-2024,16,9,9,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump
cohere/command-r-08-2024,17,10,10,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump
cohere/command-r-08-2024,18,4,4,True,0.0,"PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump
cohere/command-r-08-2024,19,13,13,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump
cohere/command-r-08-2024,20,5,5,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump
cohere/command-r-08-2024,21,13,13,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump
cohere/command-r-08-2024,22,14,2,False,0.2,"PUMP, PUMP, CASH OUT",Pump | Pump | Cash Out
cohere/command-r-08-2024,23,11,10,False,1.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Cash Out
cohere/command-r-08-2024,24,19,19,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump. | Pump. | Pump. | Pump. | Pump. | Pump. | Pump. | Pump. | Pump. | Pump. | Pump. | Pump. | Pump. | Pump. | Pump. | Pump. | Pump. | Pump. | Pump.
cohere/command-r-08-2024,25,3,3,True,0.0,"PUMP, PUMP, PUMP",Pump | Pump | Pump
cohere/command-r-08-2024,26,7,7,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump | Pump
cohere/command-r-08-2024,27,7,7,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump | Pump
cohere/command-r-08-2024,28,7,7,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump | Pump
cohere/command-r-08-2024,29,10,10,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump
cohere/command-r-08-2024,30,18,18,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump
cohere/command-r-08-2024,31,16,16,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump
cohere/command-r-08-2024,32,4,4,True,0.0,"PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump
cohere/command-r-08-2024,33,20,8,False,0.8,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Cash Out
cohere/command-r-08-2024,34,15,15,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump
cohere/command-r-08-2024,35,1,1,True,0.0,PUMP,Pump
cohere/command-r-08-2024,36,9,7,False,0.7,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Cash Out
cohere/command-r-08-2024,37,16,16,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump
cohere/command-r-08-2024,38,15,15,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump
cohere/command-r-08-2024,39,10,10,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump
cohere/command-r-08-2024,40,16,16,True,0.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump
cohere/command-r-08-2024,41,19,10,False,1.0,"PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, PUMP, CASH OUT",Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Pump | Cash Out
cohere/command-r-08-2024,42,3,3,True,0.0,"PUMP, PUMP, PUMP",Pump | Pump | Pump
